연월,항만,구분,입항_선박수,입항_총톤수,출항_선박수,출항_총톤수
202002,서귀포,국적선,0,0,0,0
202002,서귀포,외국선,0,0,0,0
202002,서귀포,연안선,276,86367,275,84992
202002,속초,국적선,0,0,0,0
202002,속초,외국선,3,2425,3,2425
202002,속초,연안선,12,24058,11,23271
202002,여수,국적선,17,342558,18,310982
202002,여수,외국선,246,11651445,245,11550826
202002,여수,연안선,454,230116,453,228589
202002,옥계,국적선,4,5016,4,5016
202002,옥계,외국선,8,142937,9,174811
202002,옥계,연안선,67,259566,63,243394
202002,옥포,국적선,1,41986,2,59332
202002,옥포,외국선,7,122739,7,173451
202002,옥포,연안선,181,271730,182,272013
202002,완도,국적선,0,0,0,0
202002,완도,외국선,0,0,0,0
202002,완도,연안선,58,84477,60,88808
202002,울산,국적선,251,1831765,238,1567728
202002,울산,외국선,680,14067561,707,14932265
202002,울산,연안선,1122,1524602,1132,1573148
202002,인천,국적선,82,1431700,93,1522958
202002,인천,외국선,480,11406916,487,11625921
202002,인천,연안선,602,1844878,595,1815297
202002,장승포,국적선,0,0,0,0
202002,장승포,외국선,0,0,0,0
202002,장승포,연안선,3,4161,3,4161
202002,장항,국적선,0,0,0,0
202002,장항,외국선,8,32275,6,22189
202002,장항,연안선,34,30342,33,31872
202002,제주,국적선,0,0,0,0
202002,제주,외국선,5,204338,5,204338
202002,제주,연안선,434,3105694,432,3074201
202002,진해,국적선,2,2221,2,2221
202002,진해,외국선,12,134390,13,92037
202002,진해,연안선,138,189066,143,189950
202002,태안,국적선,2,81619,2,81619
202002,태안,외국선,8,479358,8,477024
202002,태안,연안선,18,16161,18,13822
202002,통영,국적선,19,4428,19,4302
202002,통영,외국선,12,9154,12,7946
202002,통영,연안선,31,4802,34,5320
202002,평택.당진,국적선,50,840869,48,758452
202002,평택.당진,외국선,360,10123895,361,10064673
202002,평택.당진,연안선,277,639542,281,635360
202002,포항,국적선,64,512259,68,554098
202002,포항,외국선,179,4207206,185,4130617
202002,포항,연안선,291,660440,287,649946
202002,하동,국적선,0,0,0,0
202002,하동,외국선,4,297616,5,438744
202002,하동,연안선,10,10404,9,9661
202002,호산,국적선,2,82320,1,38364
202002,호산,외국선,12,1088830,12,978010
202002,호산,연안선,4,3670,3,2688
202003,경인,국적선,0,0,0,0
202003,경인,외국선,5,33095,4,19981
202003,경인,연안선,8,9178,7,6662
202003,고현,국적선,24,159708,24,169950
202003,고현,외국선,4,9514,4,9514
202003,고현,연안선,152,353646,154,402932
202003,광양,국적선,250,1935752,256,1996720
202003,광양,외국선,741,23750075,752,23403191
202003,광양,연안선,1021,2357029,1012,2485632
202003,군산,국적선,30,318913,30,319600
202003,군산,외국선,116,2238813,117,2192152
202003,군산,연안선,117,283672,120,284448
202003,기타,국적선,0,0,0,0
202003,기타,외국선,0,0,0,0
202003,기타,연안선,41,299793,14,393848
202003,대산,국적선,76,428161,74,455130
202003,대산,외국선,193,5770062,190,5362914
202003,대산,연안선,327,681927,323,686291
202003,동해.묵호,국적선,11,113592,5,117790
202003,동해.묵호,외국선,79,826559,82,808675
202003,동해.묵호,연안선,227,959725,228,1001800
202003,마산,국적선,40,538213,42,550798
202003,마산,외국선,130,3744716,129,3765449
202003,마산,연안선,383,953503,387,949464
202003,목포,국적선,7,30228,10,85363
202003,목포,외국선,55,1826800,55,2065849
202003,목포,연안선,541,1399536,533,1138079
202003,보령,국적선,0,0,0,0
202003,보령,외국선,15,1150330,14,1107350
202003,보령,연안선,5,2897,6,2909
202003,부산,국적선,510,3948826,517,3821283
202003,부산,외국선,1569,54018406,1615,53539148
202003,부산,연안선,1778,1711169,1804,1701145
202003,삼척,국적선,0,0,0,0
202003,삼척,외국선,0,0,0,0
202003,삼척,연안선,105,414104,109,428992
202003,삼천포,국적선,1,43956,1,43956
202003,삼천포,외국선,9,263818,9,238911
202003,삼천포,연안선,81,86953,76,90620
202003,서귀포,국적선,0,0,0,0
202003,서귀포,외국선,0,0,0,0
202003,서귀포,연안선,180,75443,180,75443
202003,속초,국적선,0,0,0,0
202003,속초,외국선,6,4387,7,4874
202003,속초,연안선,20,41523,20,39358
202003,여수,국적선,16,234308,15,233915
202003,여수,외국선,237,11173481,234,10935059
202003,여수,연안선,461,201598,464,203895
202003,옥계,국적선,3,3888,3,3888
202003,옥계,외국선,7,139304,7,140169
202003,옥계,연안선,97,304459,96,299631
202003,옥포,국적선,8,146747,8,146747
202003,옥포,외국선,3,39565,5,228595
202003,옥포,연안선,170,227207,168,225061
202003,완도,국적선,0,0,0,0
202003,완도,외국선,0,0,0,0
202003,완도,연안선,82,83216,79,83591
202003,울산,국적선,271,1704293,275,1972238
202003,울산,외국선,731,16941913,754,17101667
202003,울산,연안선,1077,1338699,1088,1306350
202003,인천,국적선,82,1313736,89,1389510
202003,인천,외국선,581,12311380,585,12287683
202003,인천,연안선,645,1914773,645,1856022
202003,장항,국적선,0,0,0,0
202003,장항,외국선,8,26762,9,29943
202003,장항,연안선,51,44206,51,43774
202003,제주,국적선,0,0,0,0
202003,제주,외국선,3,96030,3,96030
202003,제주,연안선,457,3315086,463,3361499
202003,진해,국적선,1,1501,1,1501
202003,진해,외국선,17,152968,16,194009
202003,진해,연안선,145,166386,144,180257
202003,태안,국적선,1,37663,1,37663
202003,태안,외국선,10,582364,9,539443
202003,태안,연안선,13,7956,14,9563
202003,통영,국적선,16,3060,14,1878
202003,통영,외국선,10,8497,11,12486
202003,통영,연안선,39,9321,38,6109
202003,평택.당진,국적선,66,807530,66,780621
202003,평택.당진,외국선,412,10492853,407,10525038
202003,평택.당진,연안선,290,827896,290,794970
202003,포항,국적선,69,511073,68,484182
202003,포항,외국선,190,4345030,189,4368468
202003,포항,연안선,289,714752,288,726326
202003,하동,국적선,0,0,0,0
202003,하동,외국선,4,222393,5,266230
202003,하동,연안선,8,9704,8,9704
202003,호산,국적선,1,38364,2,82320
202003,호산,외국선,5,432089,7,635225
202003,호산,연안선,5,238916,6,239898
202004,경인,국적선,0,0,0,0
202004,경인,외국선,6,34047,8,51392
202004,경인,연안선,9,11355,9,11355
202004,고현,국적선,23,153730,20,147648
202004,고현,외국선,2,6591,6,388607
202004,고현,연안선,120,260769,119,218628
202004,광양,국적선,263,2197072,268,2216790
202004,광양,외국선,678,21645581,681,21848371
202004,광양,연안선,984,2020566,973,2183398
202004,군산,국적선,23,462358,27,477212
202004,군산,외국선,126,2089915,119,2101634
202004,군산,연안선,134,300260,131,283271
202004,기타,국적선,0,0,0,0
202004,기타,외국선,0,0,0,0
202004,기타,연안선,27,77589,16,392904
202004,대산,국적선,72,385964,72,345346
202004,대산,외국선,124,3320401,123,3932206
202004,대산,연안선,263,569655,262,586042
202004,동해.묵호,국적선,10,172902,7,118394
202004,동해.묵호,외국선,74,712729,73,715678
202004,동해.묵호,연안선,225,936054,225,938427
202004,마산,국적선,41,642882,39,532779
202004,마산,외국선,107,3026371,106,2870721
202004,마산,연안선,362,1223442,363,1214878
202004,목포,국적선,8,212858,8,212858
202004,목포,외국선,38,967487,41,1090630
202004,목포,연안선,532,1273133,537,1158232
202004,보령,국적선,1,75752,0,0
202004,보령,외국선,13,1008898,14,1102147
202004,보령,연안선,14,7089,15,8640
